RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
92,Deaundrae Ballard (college),https://www.sports-reference.com/cbb/players/deaundrae-ballard-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,,,,74,65,,,,
93,Alex Reese (college),https://www.sports-reference.com/cbb/players/alex-reese-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=alabama,Alabama,,,,,,62,99,81,
T93,Luka Garza (college),https://www.sports-reference.com/cbb/players/luka-garza-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=iowa,Iowa,,,,41,100,,,,
93,Terrance Lewis (college),https://www.sports-reference.com/cbb/players/terrence-lewis-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=iowast,Iowa State,,,,80,61,,,,
96,Ty-Shon Alexander (college),https://www.sports-reference.com/cbb/players/ty-shon-alexander-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=creighton,Creighton,,,,87,78,,85,94,
97,Isaiah Stokes (college),https://www.sports-reference.com/cbb/players/isaiah-stokes-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,,,,84,62,,,,
98,Oscar Da Silva (college),https://www.sports-reference.com/cbb/players/oscar-dasilva-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=stanford,Stanford,,,,,,,,47,
99,Hameir Wright (college),https://www.sports-reference.com/cbb/players/hameir-wright-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=washington,Washington,,,,,,90,,61,
RSCI,,,,,,,,,,,,,,,,
T99,Jordan Poole (college),https://www.basketball-reference.com/players/p/poolejo01.html,Jordan Poole,https://www.sports-reference.com/cbb/players/jordan-poole-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=michigan,Michigan,2020,2020,-1.2,100,51,,,,
1,Josh Jackson (college),https://www.basketball-reference.com/players/j/jacksjo02.html,Josh Jackson,https://www.sports-reference.com/cbb/players/josh-jackson-2.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,2018,2020,-1.8,2,2,1,1,1,1
2,Harry Giles (college),https://www.basketball-reference.com/players/g/gilesha01.html,Harry Giles,https://www.sports-reference.com/cbb/players/harry-giles-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2019,2020,2.5,3,1,2,2,5,2
3,Lonzo Ball (college),https://www.basketball-reference.com/players/b/balllo01.html,Lonzo Ball,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,2018,2020,6.0,1,4,7,4,2,3
T3,Jayson Tatum (college),https://www.basketball-reference.com/players/t/tatumja01.html,Jayson Tatum,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2018,2020,18.9,4,3,4,3,3,4
5,Markelle Fultz (college),https://www.basketball-reference.com/players/f/fultzma01.html,Markelle Fultz,https://www.sports-reference.com/cbb/players/markelle-fultz-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=washington,Washington,2018,2020,3.2,5,7,3,5,9,5
6,De'Aaron Fox (college),https://www.basketball-reference.com/players/f/foxde01.html,De'Aaron Fox,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2018,2020,9.1,7,6,6,6,6,6
7,Jonathan Isaac (college),https://www.basketball-reference.com/players/i/isaacjo01.html,Jonathan Isaac,https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=floridast,Florida State,2018,2020,6.7,8,12,5,8,12,8
8,Bam Adebayo (college),https://www.basketball-reference.com/players/a/adebaba01.html,Bam Adebayo,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2018,2020,19.5,10,5,11,7,16,9
9,Malik Monk (college),https://www.basketball-reference.com/players/m/monkma01.html,Malik Monk,https://www.sports-reference.com/cbb/players/malik-monk-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2018,2020,1.0,9,9,13,9,8,11
10,Miles Bridges (college),https://www.basketball-reference.com/players/b/bridgmi02.html,Miles Bridges,https://www.sports-reference.com/cbb/players/miles-bridges-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=michiganst,Michigan State,2019,2020,4.5,11,8,14,10,13,12
